vendor_id,specialty_category,specialty_value
recLvpIWGUjwNX4sR,tutoring,Social Studies/Humanities
recLvpIWGUjwNX4sR,tutoring,Math
recLvpIWGUjwNX4sR,tutoring,English/Language Arts
recM2HJMDYa0VkqPC,tutoring,Math
recM2HJMDYa0VkqPC,tutoring,English/Language Arts
recM2HJMDYa0VkqPC,tutoring,Science
recMGc8NOtHiaKEG2,therapy,Music
recMOD4NPb0rvNuUP,tutoring,Math
recMOD4NPb0rvNuUP,tutoring,English/Language Arts
recMQ3WciWPTGvGgk,enrichment,Kits & Subscriptions
recMQ3WciWPTGvGgk,enrichment,Science & STEM
recMR72sVh9eePZCz,enrichment,Art
recMR72sVh9eePZCz,enrichment,Kits & Subscriptions
recMR72sVh9eePZCz,supplies,Art Supplies
recMRoYZymBRnCX8q,therapy,Behavioral
recMRoYZymBRnCX8q,therapy,Autism Support
recMRoYZymBRnCX8q,therapy,ADHD/Executive Function
recMZT85sjr0HE8yp,tutoring,Math
recMZT85sjr0HE8yp,tutoring,English/Language Arts
recMZT85sjr0HE8yp,tutoring,Social Studies/Humanities
recMZT85sjr0HE8yp,tutoring,Science
recMmfSuoJyfTqLTQ,classes,Math
recMmfSuoJyfTqLTQ,classes,English/Language Arts
recMmfSuoJyfTqLTQ,tutoring,Math
recMmfSuoJyfTqLTQ,tutoring,English/Language Arts
recN3eMHt6Dz1Xjlj,therapy,Behavioral
recNlPq9Awi8xCu04,therapy,Behavioral
recNspqnhAMrCcZsV,therapy,Physical
recNwWKHYZ71VJlrI,therapy,Dyslexia/Dsygraphia
recNwWKHYZ71VJlrI,therapy,Vision
recNwWKHYZ71VJlrI,therapy,Occupational
recNwWKHYZ71VJlrI,therapy,ADHD/Executive Function
recNwWKHYZ71VJlrI,therapy,Autism Support
recNxoH37SJPU34f5,tutoring,Math
recNxoH37SJPU34f5,tutoring,English/Language Arts
recNxoH37SJPU34f5,tutoring,Social Studies/Humanities
recOAQMCq7kYoGDwH,therapy,Behavioral
recODzmIvz2AhCSBi,enrichment,Science & STEM
recODzmIvz2AhCSBi,curriculum,Science
recOM9QxSTAdnCLBa,therapy,Behavioral
recOTIaNS5HEziGSU,therapy,Behavioral
recOuNBWteWcfsP8E,supplies,Educational App
recOuNBWteWcfsP8E,curriculum,Educational Software
recP6ATiseKg8wgzq,tutoring,English/Language Arts
recP6ATiseKg8wgzq,tutoring,Foreign Language
recP6ATiseKg8wgzq,tutoring,Social Studies/Humanities
recP6ATiseKg8wgzq,tutoring,Science
recP6ATiseKg8wgzq,tutoring,Math
recPEOS5Xm2xoycmQ,tutoring,English/Language Arts
recPMATkzXnA3ottV,tutoring,Math
recPQXZB1dBDkmiW8,therapy,Behavioral
recPXatUa6vnxx6N1,therapy,Behavioral
recPq6NOjL8vaYhqR,tutoring,Social Studies/Humanities
recPq6NOjL8vaYhqR,tutoring,Science
recPq6NOjL8vaYhqR,tutoring,English/Language Arts
recPq6NOjL8vaYhqR,tutoring,Math
recPq6NOjL8vaYhqR,tutoring,Foreign Language
recQ1pPtslqumQyyR,tutoring,Math
recQ1pPtslqumQyyR,tutoring,English/Language Arts
recQ8g5W5sMKlxhPg,therapy,Occupational
recQBqFBuAsfbfweN,therapy,Dyslexia/Dsygraphia
recQEky74kAr87doq,therapy,Speech
recQbZ5YJybF979JW,therapy,Occupational
recQbZ5YJybF979JW,therapy,Behavioral
recQbZ5YJybF979JW,therapy,Speech
recQhv48UOnA6KYrm,therapy,Autism Support
recQhv48UOnA6KYrm,therapy,ADHD/Executive Function
recQpdRMafSAnZMBV,therapy,Behavioral
recQuFihE4p5FQ04E,tutoring,Math
recQuFihE4p5FQ04E,tutoring,English/Language Arts
recQzWJlC3mnMeCk4,curriculum,Books & Workbooks
recRBxaMuW0VkYcdC,therapy,Speech
recRFo9QFZbeceuEq,therapy,Dyslexia/Dsygraphia
recRTZICVpoBIK6rA,tutoring,Social Studies/Humanities
recRTZICVpoBIK6rA,tutoring,Science
recRTZICVpoBIK6rA,tutoring,English/Language Arts
recRTZICVpoBIK6rA,tutoring,Math
recRTZICVpoBIK6rA,tutoring,Foreign Language
recRa4Zi4DtAM31rQ,therapy,Behavioral
recRa4Zi4DtAM31rQ,therapy,Autism Support
recRa4Zi4DtAM31rQ,therapy,ADHD/Executive Function
recRbDmT43Bbod4OB,enrichment,Life Skills & Career Prep
recRbDmT43Bbod4OB,therapy,Other Therapy
recRfzaqLXRmNTFMV,tutoring,English/Language Arts
recRfzaqLXRmNTFMV,tutoring,Math
recRfzaqLXRmNTFMV,tutoring,Neurodivergent-Focused
recRyLqxAnp98rId0,therapy,Dyslexia/Dsygraphia
recRyLqxAnp98rId0,tutoring,Math
recRyLqxAnp98rId0,tutoring,English/Language Arts
recS33R9sYm5p4CFL,tutoring,Math
recS33R9sYm5p4CFL,tutoring,English/Language Arts
recS33R9sYm5p4CFL,tutoring,Social Studies/Humanities
recS3ndWDLuZjrwzq,therapy,Occupational
recS3ndWDLuZjrwzq,therapy,Physical
recS3ndWDLuZjrwzq,therapy,Speech
recSLLRz79K0fuWPY,therapy,Speech
recSLLRz79K0fuWPY,therapy,ADHD/Executive Function
recSLaY7DmmsDIH7o,tutoring,Social Studies/Humanities
recSLaY7DmmsDIH7o,tutoring,Science
recSLaY7DmmsDIH7o,tutoring,English/Language Arts
recSLaY7DmmsDIH7o,tutoring,Math
recSLaY7DmmsDIH7o,tutoring,Foreign Language
recScL7hqluyWDiQQ,therapy,Occupational
recScL7hqluyWDiQQ,therapy,Behavioral
recScVBMTpc9o0TXo,enrichment,Art
recScVBMTpc9o0TXo,enrichment,Kits & Subscriptions
recScVBMTpc9o0TXo,curriculum,Self-Paced Courses
recScVBMTpc9o0TXo,curriculum,Arts
recSj6Imw4WpMAv8D,therapy,Physical
recSq63wvpIeZUwH4,therapy,Behavioral
recSq63wvpIeZUwH4,therapy,Autism Support
recSq63wvpIeZUwH4,therapy,ADHD/Executive Function
recSr65tgSnUSrGgG,tutoring,Math
recSr65tgSnUSrGgG,tutoring,English/Language Arts
recSr65tgSnUSrGgG,tutoring,Science
recSxnKMrKk8oCt37,tutoring,Math
recSxnKMrKk8oCt37,tutoring,English/Language Arts
recSz6wFcQbTmLvLp,enrichment,Outdoor & Adventure
recSz6wFcQbTmLvLp,enrichment,Neurodivergent-Focused
recSz6wFcQbTmLvLp,tutoring,Neurodivergent-Focused
recT1q4WF8dnbKHaP,therapy,Occupational
recT2BNLw12eFRu8e,tutoring,Math
recT2BNLw12eFRu8e,tutoring,English/Language Arts
recTKHnN5x12qMRYa,therapy,Behavioral
recTKHnN5x12qMRYa,therapy,Autism Support
recTKHnN5x12qMRYa,therapy,ADHD/Executive Function
recTQjp0O5UT73xYs,therapy,Occupational
recTQjp0O5UT73xYs,therapy,Speech
recTQp2tAJ4RS9brr,tutoring,English/Language Arts
recTYc3XZCSljXpDy,tutoring,Math
recTYc3XZCSljXpDy,tutoring,English/Language Arts
recTameYCSCdKup8c,therapy,Speech
recTq7a9tA0MggUEq,tutoring,English/Language Arts
recTq7a9tA0MggUEq,tutoring,Math
recTrXOvnVb9wYG8y,therapy,Behavioral
recTrXOvnVb9wYG8y,therapy,Autism Support
recTrXOvnVb9wYG8y,therapy,Speech
recTrXOvnVb9wYG8y,therapy,Occupational
recU5WyahlZzFvGnI,therapy,Speech
recUA0y2nGWfajf6q,enrichment,Life Skills & Career Prep
recUENzyM0YSPJyOu,therapy,Speech
recUTdeWBfAFewdaN,tutoring,Neurodivergent-Focused
recUTdeWBfAFewdaN,tutoring,Math
recUTdeWBfAFewdaN,tutoring,English/Language Arts
recUTdeWBfAFewdaN,tutoring,Science
recUZThNJW45YheL0,tutoring,Math
recUagVFk0S10CFvN,tutoring,Math
recUruej9GpQNGGy3,enrichment,Fitness
recV2wWciIdcRA9aD,therapy,Occupational
recV2wWciIdcRA9aD,therapy,Speech
recV7n3B3a73oVTPy,tutoring,English/Language Arts
recV7n3B3a73oVTPy,tutoring,Science
recVDs9zWtGlNGwKj,enrichment,Swim
recVDs9zWtGlNGwKj,enrichment,Neurodivergent-Focused
recVHGcwmTkrTSgbl,curriculum,Books & Workbooks
recVKLCV2abvVNeYJ,tutoring,Math
recVKLCV2abvVNeYJ,tutoring,English/Language Arts
recVKLCV2abvVNeYJ,tutoring,Social Studies/Humanities
